Date,Time,Ticker,Price,Change_Pct,Volume
2026-06-17,04:23:10,MSFT,393.83,0.21,0
2026-06-17,04:23:10,GOOGL,373.25,0.31,0
2026-06-17,04:23:10,NVDA,207.41,0.31,0
2026-06-17,04:23:10,META,600.21,0.31,0
2026-06-17,04:23:10,AAPL,299.24,0.31,0
2026-06-17,04:23:10,AMD,507.29,0.31,0
2026-06-17,04:23:10,TSM,425.83,0.31,0
2026-06-17,04:23:10,AMZN,246.0,0.31,0
2026-06-17,04:33:28,MSFT,393.83,4.83,0
2026-06-17,04:33:28,GOOGL,373.25,4.83,0
2026-06-17,04:33:28,NVDA,207.41,0.64,0
2026-06-17,04:33:28,META,600.21,4.83,0
2026-06-17,04:33:28,AAPL,299.24,4.83,0
2026-06-17,04:33:28,AMD,507.29,4.83,0
2026-06-17,04:33:28,TSM,425.83,0.64,0
2026-06-17,04:33:28,AMZN,246.0,4.83,0
2026-06-17,16:46:24,MSFT,384.72,-2.4,0
2026-06-17,16:46:24,GOOGL,365.21,-2.4,0
2026-06-17,16:46:24,NVDA,207.23,-2.4,0
2026-06-17,16:46:24,META,577.96,-2.54,0
2026-06-17,16:46:24,AAPL,298.34,-2.54,0
2026-06-17,16:46:24,AMD,521.56,-2.54,0
2026-06-17,16:46:24,TSM,439.01,-2.54,0
2026-06-17,16:46:24,AMZN,239.67,-2.54,0
2026-06-17,18:27:02,MSFT,382.99,-2.33,0
2026-06-17,18:27:02,GOOGL,365.37,-2.24,0
2026-06-17,18:27:02,NVDA,205.75,-2.24,0
2026-06-17,18:27:02,META,575.15,-2.24,0
2026-06-17,18:27:02,AAPL,295.65,-2.24,0
2026-06-17,18:27:02,AMD,518.13,-2.24,0
2026-06-17,18:27:02,TSM,435.6,-2.24,0
2026-06-17,18:27:02,AMZN,239.11,-2.24,0
2026-06-17,20:03:44,MSFT,378.91,-4.95,0
2026-06-17,20:03:44,GOOGL,363.79,-4.95,0
2026-06-17,20:03:44,NVDA,204.65,-4.95,0
2026-06-17,20:03:44,META,567.58,-4.95,0
2026-06-17,20:03:44,AAPL,295.95,-4.95,0
2026-06-17,20:03:44,AMD,512.48,-4.95,0
2026-06-17,20:03:44,TSM,432.15,-4.95,0
2026-06-17,20:03:44,AMZN,237.5,-4.95,0
2026-06-17,22:06:51,MSFT,378.91,-4.95,0
2026-06-17,22:06:51,GOOGL,363.79,-0.98,0
2026-06-17,22:06:51,NVDA,204.65,-4.95,0
2026-06-17,22:06:51,META,567.58,-4.95,0
2026-06-17,22:06:51,AAPL,295.95,-4.95,0
2026-06-17,22:06:51,AMD,512.48,-4.95,0
2026-06-17,22:06:51,TSM,432.15,-4.95,0
2026-06-17,22:06:51,AMZN,237.5,-4.95,0
2026-06-17,23:13:10,MSFT,378.91,-4.95,0
2026-06-17,23:13:10,GOOGL,363.79,-4.95,0
2026-06-17,23:13:10,NVDA,204.65,-4.95,0
2026-06-17,23:13:10,META,567.58,-4.95,0
2026-06-17,23:13:10,AAPL,295.95,-4.95,0
2026-06-17,23:13:10,AMD,512.48,-4.95,0
2026-06-17,23:13:10,TSM,432.15,-4.95,0
2026-06-17,23:13:10,AMZN,237.5,-4.95,0
2026-06-18,16:45:30,MSFT,378.81,-9.22,0
2026-06-18,16:45:30,GOOGL,366.3,-9.23,0
2026-06-18,16:45:30,NVDA,210.79,-9.23,0
2026-06-18,16:45:30,META,576.78,-9.23,0
2026-06-18,16:45:30,AAPL,297.44,-9.23,0
2026-06-18,16:45:30,AMD,533.52,-9.23,0
2026-06-18,16:45:30,TSM,454.85,-9.2,0
2026-06-18,16:45:30,AMZN,243.78,-9.2,0
2026-06-18,18:30:38,MSFT,377.79,-6.13,0
2026-06-18,18:30:38,GOOGL,367.6,-6.13,0
2026-06-18,18:30:38,NVDA,210.13,-6.13,0
2026-06-18,18:30:38,META,573.54,-6.13,0
2026-06-18,18:30:38,AAPL,297.06,-6.13,0
2026-06-18,18:30:38,AMD,533.07,-6.31,0
2026-06-18,18:30:38,TSM,459.55,-6.31,0
2026-06-18,18:30:38,AMZN,242.99,-6.31,0
2026-06-18,20:14:30,MSFT,379.4,-3.56,0
2026-06-18,20:14:30,GOOGL,368.03,-3.56,0
2026-06-18,20:14:30,NVDA,210.69,-3.56,0
2026-06-18,20:14:30,META,577.22,-3.56,0
2026-06-18,20:14:30,AAPL,298.01,-3.56,0
2026-06-18,20:14:30,AMD,537.37,-3.56,0
2026-06-18,20:14:30,TSM,462.12,-3.56,0
2026-06-18,20:14:30,AMZN,244.39,-3.56,0
2026-06-18,22:20:07,MSFT,379.4,-3.56,0
2026-06-18,22:20:07,GOOGL,368.03,-3.56,0
2026-06-18,22:20:07,NVDA,210.69,-3.56,0
2026-06-18,22:20:07,META,577.22,-3.56,0
2026-06-18,22:20:07,AAPL,298.01,-3.56,0
2026-06-18,22:20:07,AMD,537.37,-3.56,0
2026-06-18,22:20:07,TSM,462.12,-3.56,0
2026-06-18,22:20:07,AMZN,244.39,-3.56,0
2026-06-18,23:26:42,MSFT,379.4,-3.56,0
2026-06-18,23:26:42,GOOGL,368.03,-3.56,0
2026-06-18,23:26:42,NVDA,210.69,-3.56,0
2026-06-18,23:26:42,META,577.22,-3.56,0
2026-06-18,23:26:42,AAPL,298.01,-3.56,0
2026-06-18,23:26:42,AMD,537.37,-3.56,0
2026-06-18,23:26:42,TSM,462.12,-3.56,0
2026-06-18,23:26:42,AMZN,244.39,-3.56,0
2026-06-19,16:17:56,MSFT,379.4,-3.56,0
2026-06-19,16:17:56,GOOGL,368.03,-3.56,0
2026-06-19,16:17:56,NVDA,210.69,-3.56,0
2026-06-19,16:17:56,META,577.22,-3.56,0
2026-06-19,16:17:56,AAPL,298.01,0.14,0
2026-06-19,16:17:56,AMD,537.37,-3.56,0
2026-06-19,16:17:56,TSM,462.12,-3.56,0
2026-06-19,16:17:56,AMZN,244.39,-3.56,0
2026-06-19,18:04:19,MSFT,379.4,-3.56,0
2026-06-19,18:04:19,GOOGL,368.03,-3.56,0
2026-06-19,18:04:19,NVDA,210.69,-3.56,0
2026-06-19,18:04:19,META,577.22,-3.56,0
2026-06-19,18:04:19,AAPL,298.01,-3.56,0
2026-06-19,18:04:19,AMD,537.37,-3.56,0
2026-06-19,18:04:19,TSM,462.12,-3.56,0
2026-06-19,18:04:19,AMZN,244.39,-3.56,0
2026-06-19,19:28:38,MSFT,379.4,-3.56,0
2026-06-19,19:28:38,GOOGL,368.03,-3.56,0
2026-06-19,19:28:38,NVDA,210.69,-3.56,0
2026-06-19,19:28:38,META,577.22,-3.56,0
2026-06-19,19:28:38,AAPL,298.01,-3.56,0
2026-06-19,19:28:38,AMD,537.37,-3.56,0
2026-06-19,19:28:38,TSM,462.12,-3.56,0
2026-06-19,19:28:38,AMZN,244.39,-3.56,0
2026-06-19,21:14:44,MSFT,379.4,-3.56,0
2026-06-19,21:14:44,GOOGL,368.03,-3.56,0
2026-06-19,21:14:44,NVDA,210.69,-3.56,0
2026-06-19,21:14:44,META,577.22,-3.56,0
2026-06-19,21:14:44,AAPL,298.01,-3.56,0
2026-06-19,21:14:44,AMD,537.37,-3.56,0
2026-06-19,21:14:44,TSM,462.12,-3.56,0
2026-06-19,21:14:44,AMZN,244.39,-3.56,0
2026-06-19,22:41:28,MSFT,379.4,-3.56,0
2026-06-19,22:41:28,GOOGL,368.03,-3.56,0
2026-06-19,22:41:28,NVDA,210.69,0.14,0
2026-06-19,22:41:28,META,577.22,-3.56,0
2026-06-19,22:41:28,AAPL,298.01,-3.56,0
2026-06-19,22:41:28,AMD,537.37,-3.56,0
2026-06-19,22:41:28,TSM,462.12,-3.56,0
2026-06-19,22:41:28,AMZN,244.39,-3.56,0
2026-06-20,15:21:40,MSFT,379.4,-3.56,0
2026-06-20,15:21:40,GOOGL,368.03,-3.56,0
2026-06-20,15:21:40,NVDA,210.69,-3.56,0
2026-06-20,15:21:40,META,577.22,-3.56,0
2026-06-20,15:21:40,AAPL,298.01,-3.56,0
2026-06-20,15:21:40,AMD,537.37,-3.56,0
2026-06-20,15:21:40,TSM,462.12,-3.56,0
2026-06-20,15:21:40,AMZN,244.39,-3.56,0
2026-06-20,17:40:43,MSFT,379.4,-3.56,0
2026-06-20,17:40:43,GOOGL,368.03,-3.56,0
2026-06-20,17:40:43,NVDA,210.69,-3.56,0
2026-06-20,17:40:43,META,577.22,-3.56,0
2026-06-20,17:40:43,AAPL,298.01,-3.56,0
2026-06-20,17:40:43,AMD,537.37,-3.56,0
2026-06-20,17:40:43,TSM,462.12,-3.56,0
